"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp124_c1_seq1"	1199225,62311	2,85932740098376	0,279798762621089	10,2192281845647	1,62630570431278e-24	1,00751621681816e-23
"comp213_c0_seq1"	82292,9605082931	-1,54883611895847	0,152418940719793	-10,1617037334346	2,93895207623265e-24	1,77736625562641e-23
"comp848_c0_seq1"	99692,4621005056	-1,55444675940238	0,15459718022896	-10,0548196099064	8,74815025784407e-24	5,16751201277301e-23
"comp866_c0_seq7"	37880,9123823224	2,66529957084817	0,26768318799735	9,95691806716884	2,35242169559533e-23	1,35798888791185e-22
"comp1210_c0_seq1"	137632,148490485	1,90879864160801	0,192567476004654	9,91236257135071	3,67843138831358e-23	2,07627016140367e-22
"comp1201_c0_seq1"	60219,252771225	-1,79157294748522	0,182308246030344	-9,8271635348136	8,60070624122468e-23	4,7490856201545e-22
"comp194_c0_seq1"	27057,7547232318	-2,60084293976971	0,265170655381206	-9,808185359088	1,03818673371772e-22	5,61062617796383e-22
"comp61_c0_seq1"	191812,887922075	-1,29555060876062	0,132483289286899	-9,77897375385239	1,386088008186e-22	7,33369287055868e-22
"comp796_c0_seq1"	34362,3168710556	-3,51324127294501	0,359341006698837	-9,7769005135822	1,41476752227313e-22	7,33369287055868e-22
"comp1795_c0_seq1"	151112,813349239	1,85566921737562	0,191756173376914	9,67723325250205	3,76774184664209e-22	1,91401285809418e-21
"comp2678_c0_seq2"	162970,734545721	2,35113883092789	0,246655545006807	9,53207368949686	1,54172291555989e-21	7,67838471671006e-21
"comp1496_c0_seq1"	55032,972012967	-1,01901641985796	0,107194793511047	-9,50621188288351	1,97732064541397e-21	9,65845084490672e-21
"comp22419_c0_seq1"	321008,991504858	2,5006154452663	0,264843212041964	9,44187100732669	3,66181387708115e-21	1,75490702788417e-20
"comp1281_c0_seq1"	32669,755857965	-3,00585797253122	0,318631937660118	-9,43363679926382	3,96111262106615e-21	1,86319001064963e-20
"comp3011_c0_seq1"	16113,5140412494	2,19644066273969	0,235903789184343	9,31074770072183	1,2693557980584e-20	5,86211586739697e-20
"comp611_c0_seq2"	88241,4250206391	-1,22203043813051	0,131829688314053	-9,269766573515	1,86553743563513e-20	8,46154479734506e-20
"comp866_c0_seq3"	56207,9569039389	2,03779719634837	0,220778905987832	9,23003575559289	2,70541576260492e-20	1,2055712345643e-19
"comp2908_c0_seq2"	112220,564859832	1,61882172678136	0,175710857333468	9,21298633077138	3,17175419634086e-20	1,38900959632858e-19
"comp310_c0_seq1"	145966,110530529	-2,14333854926891	0,234299648527269	-9,14785217451771	5,8076698466172e-20	2,50025108650978e-19
"comp441_c0_seq1"	114450,811967505	-1,3288619197346	0,146733199212934	-9,05631395527742	1,34933304267486e-19	5,71217654732359e-19
"comp521_c0_seq1"	75258,3666649323	-1,34167419808779	0,150141224310549	-8,93608137437788	4,03215085300444e-19	1,67896117485759e-18
"comp824_c0_seq3"	77870,5254798252	-1,62456963789272	0,18392829038438	-8,83262511980969	1,02247249768545e-18	4,18883894213072e-18
"comp2459_c0_seq1"	134892,278585773	2,20737829190521	0,250718596496753	8,80420647988829	1,31781589080536e-18	5,31309898832637e-18
"comp1200_c0_seq1"	240083,022188218	2,19174459945845	0,249840850953556	8,77256297796504	1,74644780357011e-18	6,89118122569905e-18
"comp2284_c0_seq1"	123576,048780854	1,70659086048654	0,194561563111289	8,77146972503697	1,76349125854503e-18	6,89118122569905e-18
"comp27180_c0_seq1"	1451,73380931671	-13,8005385676565	1,57656038287947	-8,75357437464643	2,06699558964865e-18	7,95480120864784e-18
"comp2417_c0_seq1"	23427,0037044683	2,21598072524229	0,253826720894601	8,73028937785654	2,54021839984379e-18	9,63008169493017e-18
"comp590_c0_seq1"	2865202,20607176	2,23407865342496	0,256426162207477	8,71236629754395	2,97596219772428e-18	1,11160940914995e-17
"comp2784_c0_seq1"	202348,734614396	1,70815361069111	0,196142292837816	8,70874703245939	3,07252112520467e-18	1,13104400840867e-17
"comp82_c0_seq1"	158986,875291721	-1,15157418485073	0,133436428914641	-8,63013342171642	6,12804476977734e-18	2,22360481646206e-17
