 "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp1210_c0_seq1"	145331,160162344	2,27368016949399	0,198632639216638	11,4466594133818	2,44382879352177e-30	2,69417223090693e-29
"comp1795_c0_seq1"	159872,584070597	2,23116777305039	0,196059080686397	11,3800787254492	5,25522714298441e-30	5,65562540149751e-29
"comp17483_c0_seq2"	2971,33537123163	-26,7230969657954	2,36689622515326	-11,2903542968239	1,46445164574491e-29	1,53937707878302e-28
"comp72_c0_seq1"	93516,0680978204	-1,55279297765283	0,137892425702637	-11,2609011679974	2,04655098572014e-29	2,10236601260341e-28
"comp149_c0_seq1"	92933,8865171014	-1,33162472795644	0,118744605317093	-11,2141913681089	3,47346512586093e-29	3,48890274864254e-28
"comp7513_c0_seq3"	9799,55496896248	-2,85126980442993	0,255672528420475	-11,1520382031064	6,99846562775042e-29	6,87675318205041e-28
"comp821_c0_seq1"	167265,534098143	-1,51854542123658	0,137892947298727	-11,0124952072194	3,32660770027996e-28	3,19920570324796e-27
"comp72_c0_seq3"	101430,654165988	-1,72828819603343	0,157058656151357	-11,0040938741248	3,65168425959157e-28	3,43866934444873e-27
"comp866_c0_seq7"	40718,4651825954	3,02151824193652	0,275956358022149	10,9492611933007	6,69917827426197e-28	6,17965016319676e-27
"comp453_c0_seq1"	67541,2347483951	-1,64392089066331	0,150408600096256	-10,9297000943514	8,31226844946878e-28	7,51429067831978e-27
"comp17483_c0_seq1"	18022,0837921001	2,34355580476387	0,215122265206626	10,8940643708492	1,23024503598994e-27	1,09033481621069e-26
"comp124_c1_seq1"	1285655,14661269	3,23714787643094	0,298834234240154	10,8325871186146	2,41241391666197e-27	2,0969444044831e-26
"comp1897_c0_seq1"	3210816,14093091	2,87479303241206	0,271932642261455	10,5717099959189	4,03077054515467e-26	3,437562804547e-25
"comp2784_c0_seq1"	213113,303920595	2,08091511136076	0,200422862464508	10,3826234481072	2,97485979591805e-25	2,49006782917585e-24
"comp2678_c0_seq2"	174368,74406304	2,73067149475401	0,263743969441343	10,3534935814383	4,03488038380445e-25	3,31593806087202e-24
"comp22419_c0_seq1"	344265,415261571	2,87639459773872	0,279963745843945	10,2741681394064	9,21358303380121e-25	7,43667773442526e-24
"comp4965_c0_seq1"	69037,0432815385	2,06028106224909	0,201237144468837	10,2380754193624	1,33872846565409e-24	1,06158818679938e-23
"comp866_c0_seq3"	59656,2302363137	2,39979892937119	0,235151580389162	10,2053276673696	1,87686564007375e-24	1,46266080916093e-23
"comp439_c0_seq1"	97329,3380827289	-1,64296229913754	0,161452931673773	-10,176106944018	2,53501094758557e-24	1,94207618357403e-23
"comp1454_c0_seq1"	71979,8027094981	-1,81449220812015	0,17847755773813	-10,1665006576482	2,79780009782671e-24	2,10767607369612e-23
"comp1753_c0_seq1"	19763,0135612527	-2,34397061427192	0,232340777458354	-10,0885029305373	6,21094973162837e-24	4,60221193228856e-23
